Station ID	Station Code	Station name	Date	Depth1	Depth2	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr
36225	OSLEALN	Alna	05.01.2015 11:40	0	0	0.598	8	40.14	3.2	4.01	4.3	56	63	845	233	1610	8.4	0.27	0.353	0.026	2.56	8.3	0.8	0.24
36225	OSLEALN	Alna	05.02.2015 13:40	0	0	0.976	7.77	41.6	3.9	9.51	3.9	47	53	660	220	1310	7.971	0.29	0.689	0.041	2.6	9.95	0.77	0.28
36225	OSLEALN	Alna	03.03.2015 12:35	0	0	4.017	7.82	52.1	9.4	14.9	4.8	46	50	810	84	1320	7.414	0.37	0.832	0.049	4.45	17.3	1.1	0.51
36225	OSLEALN	Alna	08.04.2015 13:30	0	0	1.175	8.12	38.6	3.1	5.19	4.2	23	31	770	70	1190	6.921	0.26	0.399	0.026	2.91	9	0.83	0.41
36225	OSLEALN	Alna	04.05.2015 10:00	0	0	0.497	7.96	42.6	3	5.38	4	42	58	880	150	1700	4.136	0.32	0.314	0.025	3.18	8	0.75	0.21
36225	OSLEALN	Alna	04.06.2015 12:20	0	0	3.053	7.97	32.3	2.6	8.16	4.6	37	43	830	68	1470	6.857	0.35	0.523	0.03	3.41	9.3	0.82	0.37
36225	OSLEALN	Alna	01.07.2015 12:15	0	0	0.491	8.08	42.3	5.1	7.84	4.1	35	90	1080	120	1720	7.264	0.46	0.224	0.032	3.2	9.8	1.03	0.34
36225	OSLEALN	Alna	05.08.2015 09:25	0	0	0.977	7.78	19.6	99	202	7.4	390	470	640	<2	1500	7.157	1.52	23.5	0.73	26.2	129	4.98	5.57
36225	OSLEALN	Alna	07.09.2015 09:15	0	0	2.37	8.01	31.1	6.5	8.62	5.5	43	49	870	120	1500	8.379	0.45	0.914	0.05	3.95	21.5	1.12	0.54
36225	OSLEALN	Alna	06.10.2015 10:40	0	0	0.571	8.01	38.9	2	1.93	4.1	79	90	1190	350	2200	8.379	0.38	0.248	0.042	2.94	9.4	0.86	0.19
36225	OSLEALN	Alna	03.11.2015 11:15	0	0	0.373	7.93	35.6	1.7	1.81	4.3	75	96	1150	240	1900	8.036	0.35	0.188	0.028	2.62	8.6	0.82	0.13
36225	OSLEALN	Alna	03.12.2015 10:40	0	0	1.539	7.96	37.9	3.9	6.11	4.9	44	55	740	180	1380	7.093	0.37	0.479	0.03	2.98	9.7	0.91	0.33
36225	OSLEALN	Alna	05.01.2016 11:15	0	0	0.839	7.96	47.6	6.6	8.88	4.2	54	57	830	290	1600	7.864	0.38	0.532	0.04	2.68	10.2	0.99	0.43
36225	OSLEALN	Alna	04.02.2016 11:00	0	0	1.12	7.89	54.6	5.8	7.64	4.1	47	62	690	150	1340	7.307	0.31	0.485	0.036	2.65	10.2	0.88	0.38
36225	OSLEALN	Alna	02.03.2016 11:00	0	0	0.598	7.9	66.2	10	13.9	5.4	220	250	790	1000	3300	8.143	0.35	0.362	0.036	3.51	11.9	0.94	0.53
36225	OSLEALN	Alna	06.04.2016 10:00	0	0	3.696	7.69	39.2	10	15.9	5.2	36	54	780	89	1320	7.436	0.39	0.846	0.041	3.34	12	1.11	0.69
36225	OSLEALN	Alna	09.05.2016 10:20	0	0	0.851	8.14	45.4	2.5	3	4.2	22	34	910	40	1500	6.343	0.33	0.321	0.033	2.68	7.1	0.97	0.43
36225	OSLEALN	Alna	01.06.2016 09:50	0	0	0.751	8.06	43.6	3.4	5.26	4.1	36	52	1030	110	1600	7.071	0.43	0.492	0.056	3.19	10.7	0.89	0.41
36225	OSLEALN	Alna	07.07.2016 09:10	0	0	0.7	8.21	39.9	4.7	4.35	4.2	46	62	1050	68	1500	7.479	0.47	0.655	0.037	3.2	11.3	0.95	0.51
36225	OSLEALN	Alna	03.08.2016	0	0	0.568																		
36225	OSLEALN	Alna	03.08.2016 10:30	0	0	0.568	8.13	43.9	4	3.93	4.2	77	100	1200	39	2000	7.521	0.42	0.259	0.029	2.6	7.6	0.83	0.18
36225	OSLEALN	Alna	06.09.2016	0	0	0.398																		
36225	OSLEALN	Alna	06.09.2016 09:05	0	0	0.398	8.14	39.7	1.7	3.03	4	72	85	1600	140	2100	7.286	0.38	0.214	0.021	2.43	6.1	0.76	0.2
