ProjectId	ProjectName	StationId	StationCode	StationName	SampleDate	Depth1	Depth2	pH	Konduktivitet	TSM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	Si	As	Pb	Cd	Cu	Zn	Cr	Ni	Hg	Ca	DOC	POC	Nitrogen part	TOTP/F	Turbiditet		Temperatur	Ag	Cd-filt	Hg-filt	Ni-filt	NO3+NO2-N	Pb-filt	SiO2	STS	TOTN (old EF)	TOTN_F	TOTP_P
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	06.01.2020 14:15	0	0	6.93	4.08	0.79	3.2	< 1	4	280	18	420	1.36									4.22	3.2	129	11.6	2	0.69		1.8											
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	03.02.2020 15:30	0	0	6.91	3.84	0.97	3.4	1	3	260	17	410	1.49	0.11	0.068	0.0078	0.59	2	0.1	0.39	< 1	4.35	3.3	132	30.9	2	2.1		1.2	"< 0,002"										
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	02.03.2020 14:40	0	0	7.06	4.06	1.33	3.3	2	5	260	20	420	1.45									4.39	3.3	142	16.2	2	1.8		1.7											
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	14.04.2020 12:00	0	0	7.09	3.59	1.03	3.1	2	5	270	6	360	1.33									3.96	3.2	135	< 1	1	1		3.7											
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	04.05.2020 12:15	0	0	6.91	3.37	1.27	3.6	3	4	250	5	350	1.32	0.12	0.077	0.0055	0.56	1.3	0.11	0.39	7	3.66	3.7	200	16.9	2	0.7		6.5	"< 0,002"										
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	11.05.2020 11:35	0	0	7.04	3.54	1.16	4.4	3	4	220	3	360	1.35									3.85	3.8	323	31.4	2	0.94		6.7											
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	25.05.2020 08:15	0	0	6.81	3.3	1.4	4.2	2	3	220	2	250	1.34									3.67	4.1	193	22.9	2	0.79		8											
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	02.06.2020 12:10	0	0	6.92	3.08	1.66	4.2	2	4	220	< 2	300	1.27									3.36	4.2	217	24.4	3	0.79		12.1											
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	15.06.2020 12:00	0	0	7.01	3.03	1.05	3.2	2	3	170	9	270	1.24									3.38	3.2	312	28.9	< 1	0.88		16.3											
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	22.06.2020 08:45	0	0	6.93	2.86	1.58	4.3	3	4	170	5	360	1.2									3.28	4.5	287	31.2	2	0.89		18.1											
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	06.07.2020 12:15	0	0	7.1	3.14	1.58	3.7	2	4	190	< 2	290	1.19									3.46	3.6	249	31.7	2	1.4		16.3											
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	03.08.2020 12:20	0	0	7.06	2.96	1.27	4.3	1	4	140	3	270	1.12	0.14	0.056	0.005	0.55	0.97	0.077	0.37	< 1	3.3	3.5	225	33	2	1.2		17.2	"< 0,002"										
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	07.09.2020 12:10	0	0	7.13	3.1	0.85	3.6	< 1	3	130	3	240	1.09									3.18	3.5	589	54.1	< 1	0.61		15.9											
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	05.10.2020 11:45	0	0	7.17	4.97	12.7	5.8	11	24	700	9	810	1.72	0.3	0.501	0.017	1.37	4.1	0.38	0.82	< 1	5.94	5.5	821	60.7	6	9.3		12	"< 0,002"										
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	02.11.2020 12:50	0	0	7.27	5.14	4.09	4.5	5	11	500	< 2	610	1.75									5.87	4.5	265	30	7	3.5		8.5											
12564	Elveoverv?ings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	07.12.2020 13:15	0	0	7.13	4.14	2.23	3.5	3	7	410	5	490	1.64									4.45	3.5	211	24.1	3	2.1		4.6											
12564	Elveoverv?ings hovedelver 2021-25	40353	TELESKI	Skienselva	14.01.2020 09:00	0	0	6.67	2.12	2.1	2.8	2	5	160	8		1.05									1.9	2.9	165	16.2	1	0.86											270		
