Station ID	Station Code	Station name	Region	Date	Month	Depth1	Depth2	E4/E6	HI	SR	SAR(UV)	UVABS254(filtrert+ufiltrert)	E2/E3	SAR(VIS)	Total CDOM absorbtion	UVABS410(filtrert+ufiltrert)	sUVa 254	UVABS360(filtrert)	UVABS365(filtrert+ufiltrert)	sVISa 410	Farge	S275-295
29612	BUSEDRA	Drammenselva	Skagerrak	06.01.2020 14:15	1	0	0	6.926	0.698	0.867	9.31	0.117	5.046	11.193	1951.178	0.011	3.667	0.025	0.023	0.332	20.569	-0.015
29612	BUSEDRA	Drammenselva	Skagerrak	03.02.2020 15:30	2	0	0	8.288	0.698	0.845	9.313	0.122	5.035	13.008	2034.592	0.011	3.592	0.026	0.024	0.325	21.355	-0.015
29612	BUSEDRA	Drammenselva	Skagerrak	02.03.2020 14:40	3	0	0	9.012	0.696	0.861	9.56	0.119	5.133	13.105	1967.356	0.01	3.607	0.025	0.023	0.317	20.236	-0.015
29612	BUSEDRA	Drammenselva	Skagerrak	14.04.2020 12:00	4	0	0	9.042	0.695	0.863	9.376	0.122	5.073	12.327	2015.324	0.011	3.922	0.026	0.024	0.353	21.161	-0.015
29612	BUSEDRA	Drammenselva	Skagerrak	04.05.2020 12:15	5	0	0	9.558	0.698	0.853	9.208	0.133	4.981	13.429	2226.884	0.012	3.703	0.029	0.027	0.338	23.549	-0.015
29612	BUSEDRA	Drammenselva	Skagerrak	11.05.2020 11:35	5	0	0	5.769	0.697	0.884	9.21	0.127	5.036	10.427	2119.045	0.012	2.894	0.028	0.025	0.266	22.632	-0.015
29612	BUSEDRA	Drammenselva	Skagerrak	25.05.2020 08:15	5	0	0	7.225	0.696	0.872	9.3	0.129	5.04	11.135	2141.239	0.012	3.067	0.028	0.026	0.279	22.698	-0.015
29612	BUSEDRA	Drammenselva	Skagerrak	02.06.2020 12:10	6	0	0	4.811	0.694	0.876	9.384	0.125	5.081	10.851	2063.959	0.011	2.967	0.027	0.025	0.269	21.838	-0.015
29612	BUSEDRA	Drammenselva	Skagerrak	15.06.2020 12:00	6	0	0	7.662	0.695	0.873	9.351	0.137	5.079	12.219	2267.327	0.012	2.912	0.029	0.027	0.262	23.785	-0.015
29612	BUSEDRA	Drammenselva	Skagerrak	22.06.2020 08:45	6	0	0	8.891	0.691	0.889	9.744	0.126	5.226	12.706	2059.079	0.011	2.925	0.026	0.024	0.253	21.084	-0.016
29612	BUSEDRA	Drammenselva	Skagerrak	06.07.2020 12:15	7	0	0	-14.725	0.638	0.75	14.349	0.108	6.559	-3747	1573.63	0.006	2.906	0.018	0.016	0.163	11.649	-0.017
29612	BUSEDRA	Drammenselva	Skagerrak	03.08.2020 12:20	8	0	0	10.624	0.693	0.866	9.65	0.13	5.17	14.155	2144.22	0.011	3.031	0.027	0.025	0.263	21.9	-0.015
